symbol,date,open,high,low,close,volume,amount
600519,2026-08-13,1418.00,1436.00,1412.00,1430.00,980,1401400.0
600519,2026-08-14,1431.00,1445.00,1420.00,1438.00,1050,1509900
600519,2026-08-17,1436.00,1452.00,1430.00,1448.00,1100,1592800
600519,2026-08-18,1449.00,1468.00,1442.00,1462.00,1260,1842120
600519,2026-08-19,1460.00,1475.00,1450.00,1468.00,1350,1981800
600519,2026-08-20,1468.00,1492.00,1462.00,1488.00,1680,2499840
000001,2026-08-13,11.20,11.30,11.15,11.25,7600,85500
000001,2026-08-14,11.22,11.25,11.10,11.11,8300,92213
000001,2026-08-17,11.20,11.23,11.07,11.10,9200,102120
000001,2026-08-18,11.10,11.15,11.03,11.05,8100,89505
000001,2026-08-19,11.08,11.28,11.07,11.27,14200,160034
000001,2026-08-20,11.20,11.40,11.19,11.40,11800,134520
300750,2026-08-13,278.00,284.00,276.00,282.00,3200,902400
300750,2026-08-14,282.00,286.00,279.00,281.00,2900,814900
300750,2026-08-17,280.00,288.00,279.00,286.00,3500,1001000
300750,2026-08-18,286.00,292.00,284.00,290.00,4100,1189000
300750,2026-08-19,291.00,296.00,288.00,294.00,4600,1352400
300750,2026-08-20,294.00,302.00,293.00,300.00,5600,1680000
